distance_A,mapper,ansatz,optimizer,exact_total_hartree,vqe_total_hartree,abs_error_hartree,iterations,elapsed_s
0.500,jordan_wigner,uccsd,slsqp,-1.0551597945,-1.0551596200,1.7450545942e-07,67,2.3723
0.500,jordan_wigner,uccsd,cobyla,-1.0551597945,-1.0551597849,9.5827812352e-09,55,1.5966
0.500,jordan_wigner,puccsd,slsqp,-1.0551597945,-1.0551597942,2.3890578404e-10,36,0.7480
0.500,jordan_wigner,puccsd,cobyla,-1.0551597945,-1.0551597627,3.1796612010e-08,39,0.7897
0.500,jordan_wigner,puccd,slsqp,-1.0551597945,-1.0551597945,4.4408920985e-15,7,0.0881
0.500,jordan_wigner,puccd,cobyla,-1.0551597945,-1.0551597475,4.6964843570e-08,25,0.3112
0.500,parity,uccsd,slsqp,-1.0551597945,-1.0551597829,1.1586367421e-08,31,0.8817
0.500,parity,uccsd,cobyla,-1.0551597945,-1.0551597890,5.4999715893e-09,65,1.9939
0.500,parity,puccsd,slsqp,-1.0551597945,-1.0551597796,1.4845693119e-08,40,0.8298
0.500,parity,puccsd,cobyla,-1.0551597945,-1.0551597463,4.8197700941e-08,41,0.8846
0.500,parity,puccd,slsqp,-1.0551597945,-1.0551597945,3.0384583738e-12,6,0.0708
0.500,parity,puccd,cobyla,-1.0551597945,-1.0551597607,3.3769285146e-08,23,0.3074
0.500,bravyi_kitaev,uccsd,slsqp,-1.0551597945,-1.0551597945,4.0127901002e-12,55,1.7030
0.500,bravyi_kitaev,uccsd,cobyla,-1.0551597945,-1.0551597857,8.7328029252e-09,54,1.6442
0.500,bravyi_kitaev,puccsd,slsqp,-1.0551597945,-1.0551597941,3.9061642809e-10,36,0.7485
0.500,bravyi_kitaev,puccsd,cobyla,-1.0551597945,-1.0551597736,2.0849545646e-08,38,0.8271
0.500,bravyi_kitaev,puccd,slsqp,-1.0551597945,-1.0551597945,5.6399329651e-12,11,0.1500
0.500,bravyi_kitaev,puccd,cobyla,-1.0551597945,-1.0551597870,7.4978707687e-09,25,0.3066
0.735,jordan_wigner,uccsd,slsqp,-1.1373060358,-1.1373058294,2.0633327802e-07,25,0.7341
0.735,jordan_wigner,uccsd,cobyla,-1.1373060358,-1.1373060307,5.0858801615e-09,59,1.7685
0.735,jordan_wigner,puccsd,slsqp,-1.1373060358,-1.1373060144,2.1329469746e-08,29,0.6201
0.735,jordan_wigner,puccsd,cobyla,-1.1373060358,-1.1373060030,3.2756433122e-08,38,0.8475
0.735,jordan_wigner,puccd,slsqp,-1.1373060358,-1.1373060311,4.6616124294e-09,7,0.0921
0.735,jordan_wigner,puccd,cobyla,-1.1373060358,-1.1373060290,6.7781265045e-09,23,0.3074
0.735,parity,uccsd,slsqp,-1.1373060358,-1.1373060037,3.2100425429e-08,35,1.1536
0.735,parity,uccsd,cobyla,-1.1373060358,-1.1373060026,3.3191491777e-08,49,1.4692
0.735,parity,puccsd,slsqp,-1.1373060358,-1.1373060331,2.6734632286e-09,23,0.5133
0.735,parity,puccsd,cobyla,-1.1373060358,-1.1373060125,2.3254826065e-08,38,0.8395
0.735,parity,puccd,slsqp,-1.1373060358,-1.1373055379,4.9785444611e-07,10,0.1370
0.735,parity,puccd,cobyla,-1.1373060358,-1.1373060091,2.6660691432e-08,24,0.3033
0.735,bravyi_kitaev,uccsd,slsqp,-1.1373060358,-1.1373059477,8.8042654944e-08,33,1.0396
0.735,bravyi_kitaev,uccsd,cobyla,-1.1373060358,-1.1373060194,1.6305668371e-08,56,1.8970
0.735,bravyi_kitaev,puccsd,slsqp,-1.1373060358,-1.1373057481,2.8766066906e-07,22,0.8078
0.735,bravyi_kitaev,puccsd,cobyla,-1.1373060358,-1.1373060090,2.6754480409e-08,42,1.5014
0.735,bravyi_kitaev,puccd,slsqp,-1.1373060358,-1.1373060357,4.3226311419e-11,12,0.2402
0.735,bravyi_kitaev,puccd,cobyla,-1.1373060358,-1.1373060314,4.3737404809e-09,22,0.4151
1.000,jordan_wigner,uccsd,slsqp,-1.1011503302,-1.1011500569,2.7332533437e-07,44,2.1545
1.000,jordan_wigner,uccsd,cobyla,-1.1011503302,-1.1011503260,4.1959955510e-09,49,2.4670
1.000,jordan_wigner,puccsd,slsqp,-1.1011503302,-1.1011503142,1.6043001150e-08,20,0.6424
1.000,jordan_wigner,puccsd,cobyla,-1.1011503302,-1.1011503247,5.4998214871e-09,42,1.5526
1.000,jordan_wigner,puccd,slsqp,-1.1011503302,-1.1011503273,2.9619124930e-09,5,0.1120
1.000,jordan_wigner,puccd,cobyla,-1.1011503302,-1.1011503240,6.1998890466e-09,22,0.4564
1.000,parity,uccsd,slsqp,-1.1011503302,-1.1011499057,4.2450677995e-07,33,1.6365
1.000,parity,uccsd,cobyla,-1.1011503302,-1.1011503232,6.9831611604e-09,54,2.5897
1.000,parity,puccsd,slsqp,-1.1011503302,-1.1011503251,5.1187196703e-09,20,0.6838
1.000,parity,puccsd,cobyla,-1.1011503302,-1.1011503075,2.2709823799e-08,38,1.2962
1.000,parity,puccd,slsqp,-1.1011503302,-1.1011502500,8.0206826958e-08,12,0.2270
1.000,parity,puccd,cobyla,-1.1011503302,-1.1011503232,7.0667147689e-09,23,0.4501
1.000,bravyi_kitaev,uccsd,slsqp,-1.1011503302,-1.1011502910,3.9254032913e-08,55,2.7531
1.000,bravyi_kitaev,uccsd,cobyla,-1.1011503302,-1.1011503253,4.9473061203e-09,61,3.4770
1.000,bravyi_kitaev,puccsd,slsqp,-1.1011503302,-1.1011503087,2.1523522964e-08,20,0.7873
1.000,bravyi_kitaev,puccsd,cobyla,-1.1011503302,-1.1011503202,1.0018307961e-08,39,1.4840
1.000,bravyi_kitaev,puccd,slsqp,-1.1011503302,-1.1011503288,1.4267009796e-09,10,0.2594
1.000,bravyi_kitaev,puccd,cobyla,-1.1011503302,-1.1011503238,6.4153096169e-09,24,0.5117
1.500,jordan_wigner,uccsd,slsqp,-0.9981493535,-0.9981493503,3.1702789283e-09,28,1.4428
1.500,jordan_wigner,uccsd,cobyla,-0.9981493535,-0.9981493420,1.1444784453e-08,72,3.7539
1.500,jordan_wigner,puccsd,slsqp,-0.9981493535,-0.9981492994,5.4053843845e-08,24,0.8550
1.500,jordan_wigner,puccsd,cobyla,-0.9981493535,-0.9981493482,5.2374207193e-09,38,1.2760
1.500,jordan_wigner,puccd,slsqp,-0.9981493535,-0.9981493525,1.0148859531e-09,8,0.1611
1.500,jordan_wigner,puccd,cobyla,-0.9981493535,-0.9981493520,1.4608854126e-09,22,0.4464
1.500,parity,uccsd,slsqp,-0.9981493535,-0.9981493532,2.9320457173e-10,60,2.9183
1.500,parity,uccsd,cobyla,-0.9981493535,-0.9981493447,8.7850773323e-09,69,3.4009
1.500,parity,puccsd,slsqp,-0.9981493535,-0.9981493465,6.9570200711e-09,23,0.8117
1.500,parity,puccsd,cobyla,-0.9981493535,-0.9981493372,1.6289566362e-08,38,1.3549
1.500,parity,puccd,slsqp,-0.9981493535,-0.9981493523,1.1485108420e-09,11,0.2205
1.500,parity,puccd,cobyla,-0.9981493535,-0.9981493478,5.6464619647e-09,21,0.4288
1.500,bravyi_kitaev,uccsd,slsqp,-0.9981493535,-0.9981493129,4.0560289793e-08,76,3.6920
1.500,bravyi_kitaev,uccsd,cobyla,-0.9981493535,-0.9981493522,1.2442531450e-09,61,3.0883
1.500,bravyi_kitaev,puccsd,slsqp,-0.9981493535,-0.9981493494,4.0588790107e-09,21,0.7446
1.500,bravyi_kitaev,puccsd,cobyla,-0.9981493535,-0.9981493465,6.9266321567e-09,35,1.2212
1.500,bravyi_kitaev,puccd,slsqp,-0.9981493535,-0.9981493534,7.8423489924e-11,8,0.1622
1.500,bravyi_kitaev,puccd,cobyla,-0.9981493535,-0.9981493465,6.9616572507e-09,23,0.4716
